header_capture_month,issuer_name,chip_indicator_uid,product_uid,description,purchase_txn_amt,purchase_txn_cnt
2017-07-01 00:00:00.000000000,CIBC,3,1,Hardware Stores,494.36,6
2016-02-01 00:00:00.000000000,TD Canada Trust,7,1,"Drug Stores, Pharmacies",93265791.79,2636249
2019-01-01 00:00:00.000000000,Scotiabank,5,1,Fast Food Restaurants,46859.06,3239
2018-09-01 00:00:00.000000000,BMO Bank of Montreal,9,1,"Drug Stores, Pharmacies",19858739.68,885496
2018-10-01 00:00:00.000000000,Scotiabank,2,1,"Grocery Stores, Supermarkets",84.21,3
2018-06-01 00:00:00.000000000,TD Canada Trust,9,1,"Grocery Stores, Supermarkets",20526273.35,970498
2017-11-01 00:00:00.000000000,BMO Bank of Montreal,3,1,"Grocery Stores, Supermarkets",86.19,1
2016-10-01 00:00:00.000000000,Royal Bank,3,1,"Grocery Stores, Supermarkets",223687.13,3361
2017-12-01 00:00:00.000000000,CIBC,9,1,"Eating Places, Restaurants",7956899.53,469280
2016-01-01 00:00:00.000000000,TD Canada Trust,4,1,Fast Food Restaurants,37704.74,5684
2016-02-01 00:00:00.000000000,CIBC,5,1,Fast Food Restaurants,123631.76,10547
2017-02-01 00:00:00.000000000,Royal Bank,9,1,Fast Food Restaurants,29643308.87,2815937
2016-04-01 00:00:00.000000000,Scotiabank,3,1,"Eating Places, Restaurants",7.40,1
2018-10-01 00:00:00.000000000,CIBC,7,1,Hardware Stores,57548990.38,635618
2016-06-01 00:00:00.000000000,Royal Bank,7,1,"Drug Stores, Pharmacies",70914672.01,1791310
2017-04-01 00:00:00.000000000,TD Canada Trust,5,1,"Eating Places, Restaurants",195556.86,6206
2017-11-01 00:00:00.000000000,TD Canada Trust,9,1,"Eating Places, Restaurants",10306587.04,725488
2016-10-01 00:00:00.000000000,Scotiabank,7,1,"Drug Stores, Pharmacies",48694770.24,1381798
2018-12-01 00:00:00.000000000,Scotiabank,7,1,"Drug Stores, Pharmacies",66496104.99,1344616
2018-06-01 00:00:00.000000000,CIBC,7,1,"Fuel Dispenser, Automated",65377703.30,1404689
2016-03-01 00:00:00.000000000,TD Canada Trust,5,1,Hardware Stores,207760.17,3065
2016-09-01 00:00:00.000000000,CIBC,7,1,"Fuel Dispenser, Automated",54258706.40,1467706
2017-12-01 00:00:00.000000000,BMO Bank of Montreal,7,1,"Grocery Stores, Supermarkets",36115682.05,714714
2016-03-01 00:00:00.000000000,TD Canada Trust,9,1,"Fuel Dispenser, Automated",8598210.64,433567
2018-05-01 00:00:00.000000000,CIBC,7,1,"Fuel Dispenser, Automated",64477711.37,1391915
2018-08-01 00:00:00.000000000,Royal Bank,2,1,Fast Food Restaurants,236.77,33
2017-12-01 00:00:00.000000000,CIBC,5,1,Hardware Stores,264558.96,3199
2018-01-01 00:00:00.000000000,Royal Bank,5,1,"Fuel Dispenser, Automated",11505.11,287
2017-07-01 00:00:00.000000000,TD Canada Trust,2,1,Fast Food Restaurants,164.68,9
2017-03-01 00:00:00.000000000,Royal Bank,5,1,Fast Food Restaurants,113251.95,8231
2018-12-01 00:00:00.000000000,Scotiabank,7,1,"Fuel Dispenser, Automated",51674073.65,1232455
2018-05-01 00:00:00.000000000,TD Canada Trust,7,1,"Drug Stores, Pharmacies",84511796.47,2081073
2017-12-01 00:00:00.000000000,CIBC,9,1,Hardware Stores,13755385.70,445796
2017-04-01 00:00:00.000000000,Royal Bank,7,1,"Grocery Stores, Supermarkets",71458180.15,1377651
2018-01-01 00:00:00.000000000,BMO Bank of Montreal,7,1,Fast Food Restaurants,13129459.73,949566
2017-11-01 00:00:00.000000000,Scotiabank,7,1,Fast Food Restaurants,20673397.69,1557984
2018-02-01 00:00:00.000000000,TD Canada Trust,2,1,"Grocery Stores, Supermarkets",376.13,11
2016-08-01 00:00:00.000000000,CIBC,7,1,"Eating Places, Restaurants",51468249.06,1600452
2017-10-01 00:00:00.000000000,Royal Bank,9,1,Fast Food Restaurants,44578850.47,4115526
2017-08-01 00:00:00.000000000,Royal Bank,5,1,"Grocery Stores, Supermarkets",359222.89,6915
2016-12-01 00:00:00.000000000,TD Canada Trust,3,1,Fast Food Restaurants,2197.05,121
2018-06-01 00:00:00.000000000,Scotiabank,7,1,"Drug Stores, Pharmacies",42894244.07,1128415
2016-11-01 00:00:00.000000000,TD Canada Trust,4,1,"Eating Places, Restaurants",256.47,6
2017-05-01 00:00:00.000000000,CIBC,2,1,"Eating Places, Restaurants",35.34,9
2016-03-01 00:00:00.000000000,CIBC,3,1,"Fuel Dispenser, Automated",0.00,0
2018-11-01 00:00:00.000000000,CIBC,2,1,"Fuel Dispenser, Automated",0.00,97
2016-11-01 00:00:00.000000000,BMO Bank of Montreal,9,1,"Eating Places, Restaurants",1031229.79,75894
2016-07-01 00:00:00.000000000,Royal Bank,5,1,Fast Food Restaurants,157925.69,11703
2017-12-01 00:00:00.000000000,CIBC,7,1,"Eating Places, Restaurants",49871258.53,1364739
2016-02-01 00:00:00.000000000,Scotiabank,9,1,Fast Food Restaurants,8201202.39,833619
2016-10-01 00:00:00.000000000,BMO Bank of Montreal,2,1,"Eating Places, Restaurants",14.12,2
2016-06-01 00:00:00.000000000,Scotiabank,5,1,"Drug Stores, Pharmacies",79140.89,2146
2016-12-01 00:00:00.000000000,CIBC,7,1,Hardware Stores,85938418.96,1143449
2017-05-01 00:00:00.000000000,BMO Bank of Montreal,9,1,Fast Food Restaurants,11004326.17,1054822
2018-08-01 00:00:00.000000000,Royal Bank,9,1,"Fuel Dispenser, Automated",18560547.96,702999
2016-06-01 00:00:00.000000000,TD Canada Trust,5,1,Fast Food Restaurants,119998.85,9667
2016-05-01 00:00:00.000000000,TD Canada Trust,4,1,Fast Food Restaurants,908.18,83
2016-04-01 00:00:00.000000000,TD Canada Trust,5,1,"Eating Places, Restaurants",191210.20,6803
2017-08-01 00:00:00.000000000,Scotiabank,9,1,Fast Food Restaurants,20528369.88,1991452
2016-01-01 00:00:00.000000000,TD Canada Trust,3,1,"Grocery Stores, Supermarkets",101581.81,2336
2018-09-01 00:00:00.000000000,CIBC,9,1,Hardware Stores,13069768.27,458920
2016-05-01 00:00:00.000000000,BMO Bank of Montreal,5,1,"Eating Places, Restaurants",75696.62,2550
2018-06-01 00:00:00.000000000,BMO Bank of Montreal,7,1,Fast Food Restaurants,15325520.26,1049959
2016-02-01 00:00:00.000000000,Royal Bank,2,1,"Drug Stores, Pharmacies",90.70,2
2018-07-01 00:00:00.000000000,CIBC,7,1,"Grocery Stores, Supermarkets",50828054.60,980954
2016-08-01 00:00:00.000000000,BMO Bank of Montreal,9,1,"Drug Stores, Pharmacies",3572432.61,161083
2018-09-01 00:00:00.000000000,TD Canada Trust,7,1,"Grocery Stores, Supermarkets",63550104.09,1308302
2016-05-01 00:00:00.000000000,BMO Bank of Montreal,7,1,"Grocery Stores, Supermarkets",26271074.75,676332
2016-02-01 00:00:00.000000000,TD Canada Trust,3,1,"Grocery Stores, Supermarkets",99712.94,2214
2018-12-01 00:00:00.000000000,Royal Bank,5,1,"Eating Places, Restaurants",167566.89,4244
2017-03-01 00:00:00.000000000,Royal Bank,9,1,Hardware Stores,11762631.07,412056
2016-10-01 00:00:00.000000000,CIBC,4,1,"Fuel Dispenser, Automated",194.42,3
2017-02-01 00:00:00.000000000,Royal Bank,3,1,"Fuel Dispenser, Automated",7209.35,232
2016-04-01 00:00:00.000000000,BMO Bank of Montreal,3,1,"Grocery Stores, Supermarkets",127.59,2
2017-06-01 00:00:00.000000000,TD Canada Trust,9,1,"Grocery Stores, Supermarkets",16635989.30,789097
2017-01-01 00:00:00.000000000,Royal Bank,5,1,"Fuel Dispenser, Automated",6212.45,166
2018-01-01 00:00:00.000000000,BMO Bank of Montreal,6,1,"Fuel Dispenser, Automated",0.00,0
2019-01-01 00:00:00.000000000,CIBC,7,1,Hardware Stores,43928972.97,497966
2016-06-01 00:00:00.000000000,TD Canada Trust,4,1,"Eating Places, Restaurants",62419.19,1739
2017-02-01 00:00:00.000000000,TD Canada Trust,4,1,"Drug Stores, Pharmacies",0.01,1
2017-12-01 00:00:00.000000000,TD Canada Trust,4,1,Hardware Stores,67.80,2
2017-03-01 00:00:00.000000000,Scotiabank,5,1,"Grocery Stores, Supermarkets",121083.86,2644
2018-02-01 00:00:00.000000000,Royal Bank,3,1,"Eating Places, Restaurants",23526.48,712
2018-08-01 00:00:00.000000000,TD Canada Trust,2,1,Hardware Stores,14201.81,448
2016-12-01 00:00:00.000000000,BMO Bank of Montreal,9,1,"Grocery Stores, Supermarkets",3080191.97,121790
2017-08-01 00:00:00.000000000,Royal Bank,5,1,"Drug Stores, Pharmacies",219752.24,4405
2019-01-01 00:00:00.000000000,TD Canada Trust,3,1,"Fuel Dispenser, Automated",0.00,1
2019-01-01 00:00:00.000000000,TD Canada Trust,5,1,Fast Food Restaurants,72680.49,4954
2018-05-01 00:00:00.000000000,CIBC,9,1,Fast Food Restaurants,37591845.42,3573461
2016-02-01 00:00:00.000000000,CIBC,5,1,"Eating Places, Restaurants",120131.66,4333
2019-01-01 00:00:00.000000000,TD Canada Trust,2,1,"Eating Places, Restaurants",466.37,13
2016-05-01 00:00:00.000000000,Royal Bank,2,1,"Grocery Stores, Supermarkets",760.23,21
2019-01-01 00:00:00.000000000,BMO Bank of Montreal,3,1,"Fuel Dispenser, Automated",0.00,0
2018-01-01 00:00:00.000000000,CIBC,3,1,Fast Food Restaurants,82.47,3
2016-10-01 00:00:00.000000000,TD Canada Trust,3,1,Hardware Stores,119335.63,837
2017-11-01 00:00:00.000000000,BMO Bank of Montreal,3,1,"Fuel Dispenser, Automated",0.00,0
2016-05-01 00:00:00.000000000,Royal Bank,7,1,"Fuel Dispenser, Automated",69265793.68,1794736
2016-06-01 00:00:00.000000000,TD Canada Trust,9,1,"Fuel Dispenser, Automated",10977306.01,541231
2016-02-01 00:00:00.000000000,TD Canada Trust,3,1,"Drug Stores, Pharmacies",239636.87,6469
2016-09-01 00:00:00.000000000,BMO Bank of Montreal,4,1,"Fuel Dispenser, Automated",480743.91,12907
2016-06-01 00:00:00.000000000,CIBC,4,1,Fast Food Restaurants,394.93,38
2018-12-01 00:00:00.000000000,TD Canada Trust,2,1,Fast Food Restaurants,659.92,44
2017-12-01 00:00:00.000000000,TD Canada Trust,7,1,"Grocery Stores, Supermarkets",74864426.27,1473044
2016-10-01 00:00:00.000000000,Royal Bank,2,1,"Drug Stores, Pharmacies",106.96,2
2016-12-01 00:00:00.000000000,TD Canada Trust,9,1,Fast Food Restaurants,31975507.82,3024448
2018-03-01 00:00:00.000000000,Scotiabank,5,1,"Eating Places, Restaurants",105859.40,3126
2017-04-01 00:00:00.000000000,TD Canada Trust,3,1,Hardware Stores,19563.37,58
2017-01-01 00:00:00.000000000,CIBC,5,1,"Eating Places, Restaurants",125577.78,4322
2016-01-01 00:00:00.000000000,BMO Bank of Montreal,5,1,"Grocery Stores, Supermarkets",95457.50,2415
2016-03-01 00:00:00.000000000,Scotiabank,4,1,"Fuel Dispenser, Automated",1497417.78,46255
2016-10-01 00:00:00.000000000,CIBC,2,1,Fast Food Restaurants,212.50,36
2018-04-01 00:00:00.000000000,Royal Bank,3,1,"Fuel Dispenser, Automated",148.69,3
2016-01-01 00:00:00.000000000,BMO Bank of Montreal,7,1,"Eating Places, Restaurants",28777035.91,941995
2018-05-01 00:00:00.000000000,CIBC,9,1,"Grocery Stores, Supermarkets",21225770.16,886769
2017-08-01 00:00:00.000000000,CIBC,7,1,"Eating Places, Restaurants",54747686.90,1595696
2016-03-01 00:00:00.000000000,CIBC,5,1,Fast Food Restaurants,139189.74,11520
2017-04-01 00:00:00.000000000,BMO Bank of Montreal,9,1,"Eating Places, Restaurants",1966143.44,128612
2016-04-01 00:00:00.000000000,BMO Bank of Montreal,4,1,"Grocery Stores, Supermarkets",42434.31,1067
2016-12-01 00:00:00.000000000,CIBC,3,1,"Drug Stores, Pharmacies",1268.58,11
2016-11-01 00:00:00.000000000,Royal Bank,9,1,"Fuel Dispenser, Automated",9340234.91,370447
2018-08-01 00:00:00.000000000,Scotiabank,5,1,"Grocery Stores, Supermarkets",109779.83,2345
2018-01-01 00:00:00.000000000,BMO Bank of Montreal,2,1,"Grocery Stores, Supermarkets",700.50,15
2017-01-01 00:00:00.000000000,BMO Bank of Montreal,9,1,Fast Food Restaurants,7069957.57,666817
2019-01-01 00:00:00.000000000,TD Canada Trust,9,1,Hardware Stores,12951426.82,476745
2016-01-01 00:00:00.000000000,TD Canada Trust,3,1,"Drug Stores, Pharmacies",241963.51,6783
2017-04-01 00:00:00.000000000,CIBC,5,1,Fast Food Restaurants,100324.16,8040
2016-10-01 00:00:00.000000000,Scotiabank,2,1,Fast Food Restaurants,390.41,39
2016-08-01 00:00:00.000000000,Royal Bank,4,1,"Eating Places, Restaurants",16267.77,589
2016-07-01 00:00:00.000000000,Royal Bank,9,1,"Drug Stores, Pharmacies",32762710.76,1465538
2018-09-01 00:00:00.000000000,TD Canada Trust,5,1,"Grocery Stores, Supermarkets",160790.26,3340
2018-03-01 00:00:00.000000000,Scotiabank,5,1,"Fuel Dispenser, Automated",3836.69,92
2016-05-01 00:00:00.000000000,TD Canada Trust,3,1,"Eating Places, Restaurants",81937.54,2455
2018-09-01 00:00:00.000000000,BMO Bank of Montreal,5,1,"Drug Stores, Pharmacies",92258.23,2104
2017-10-01 00:00:00.000000000,BMO Bank of Montreal,5,1,"Fuel Dispenser, Automated",0.00,0
2016-04-01 00:00:00.000000000,CIBC,7,1,"Fuel Dispenser, Automated",51877750.43,1464106
2017-09-01 00:00:00.000000000,Scotiabank,9,1,"Drug Stores, Pharmacies",18305522.16,867887
2018-07-01 00:00:00.000000000,Royal Bank,9,1,"Fuel Dispenser, Automated",16646392.56,645813
2017-09-01 00:00:00.000000000,BMO Bank of Montreal,4,1,"Eating Places, Restaurants",49.50,2
2017-11-01 00:00:00.000000000,Royal Bank,7,1,"Eating Places, Restaurants",62983822.83,1789485
2018-11-01 00:00:00.000000000,Scotiabank,3,1,"Eating Places, Restaurants",3.00,1
2016-02-01 00:00:00.000000000,Royal Bank,5,1,"Fuel Dispenser, Automated",13636.11,416
2016-01-01 00:00:00.000000000,TD Canada Trust,7,1,"Fuel Dispenser, Automated",76216899.59,2165989
2017-07-01 00:00:00.000000000,CIBC,7,1,Fast Food Restaurants,27102262.24,2017954
2017-04-01 00:00:00.000000000,BMO Bank of Montreal,5,1,Fast Food Restaurants,67408.01,5264
2018-11-01 00:00:00.000000000,Royal Bank,5,1,"Grocery Stores, Supermarkets",256516.28,4430
2019-01-01 00:00:00.000000000,Scotiabank,7,1,"Eating Places, Restaurants",32102507.69,877133
2016-05-01 00:00:00.000000000,BMO Bank of Montreal,7,1,Hardware Stores,54879616.92,863593
2017-12-01 00:00:00.000000000,Scotiabank,7,1,"Eating Places, Restaurants",39576794.60,1095438
2019-01-01 00:00:00.000000000,Scotiabank,2,1,"Grocery Stores, Supermarkets",22.02,2
2017-08-01 00:00:00.000000000,CIBC,2,1,Fast Food Restaurants,67.31,10
2018-01-01 00:00:00.000000000,BMO Bank of Montreal,5,1,"Grocery Stores, Supermarkets",110016.52,2070
2016-10-01 00:00:00.000000000,CIBC,4,1,Hardware Stores,225.33,4
2017-04-01 00:00:00.000000000,CIBC,3,1,"Fuel Dispenser, Automated",0.00,0
2018-04-01 00:00:00.000000000,CIBC,5,1,"Drug Stores, Pharmacies",83389.55,1869
2017-04-01 00:00:00.000000000,Royal Bank,2,1,"Drug Stores, Pharmacies",44.14,1
2018-05-01 00:00:00.000000000,BMO Bank of Montreal,2,1,"Eating Places, Restaurants",773.88,9
2017-01-01 00:00:00.000000000,CIBC,3,1,"Drug Stores, Pharmacies",8.00,1
2016-05-01 00:00:00.000000000,TD Canada Trust,5,1,Hardware Stores,347297.33,4690
2018-11-01 00:00:00.000000000,TD Canada Trust,6,1,"Fuel Dispenser, Automated",0.00,0
2016-11-01 00:00:00.000000000,BMO Bank of Montreal,4,1,Fast Food Restaurants,7.50,1
2016-10-01 00:00:00.000000000,CIBC,3,1,"Drug Stores, Pharmacies",372.70,10
2016-03-01 00:00:00.000000000,CIBC,7,1,Fast Food Restaurants,31161376.40,2588104
2017-05-01 00:00:00.000000000,Royal Bank,4,1,"Drug Stores, Pharmacies",37.74,2
2018-06-01 00:00:00.000000000,TD Canada Trust,7,1,Hardware Stores,111819213.87,1300736
2016-06-01 00:00:00.000000000,Royal Bank,9,1,"Drug Stores, Pharmacies",31724952.97,1425322
2018-11-01 00:00:00.000000000,TD Canada Trust,7,1,"Drug Stores, Pharmacies",77823712.13,1753608
2018-02-01 00:00:00.000000000,Royal Bank,3,1,"Fuel Dispenser, Automated",39.15,1
2016-08-01 00:00:00.000000000,CIBC,9,1,"Fuel Dispenser, Automated",6618164.38,301874
2017-08-01 00:00:00.000000000,CIBC,9,1,"Drug Stores, Pharmacies",24960310.49,1156084
2017-03-01 00:00:00.000000000,Scotiabank,2,1,"Grocery Stores, Supermarkets",258.69,8
2016-10-01 00:00:00.000000000,Royal Bank,7,1,"Grocery Stores, Supermarkets",61551663.22,1257980
2018-02-01 00:00:00.000000000,Royal Bank,7,1,Hardware Stores,43954041.36,518043
2019-01-01 00:00:00.000000000,BMO Bank of Montreal,5,1,Hardware Stores,68448.35,911
2017-02-01 00:00:00.000000000,TD Canada Trust,3,1,"Grocery Stores, Supermarkets",2714.70,80
2016-04-01 00:00:00.000000000,Royal Bank,7,1,Fast Food Restaurants,29932298.56,2213905
2018-05-01 00:00:00.000000000,Scotiabank,5,1,Hardware Stores,212001.28,2763
2016-11-01 00:00:00.000000000,Royal Bank,4,1,"Fuel Dispenser, Automated",0.00,0
2018-09-01 00:00:00.000000000,Royal Bank,3,1,Hardware Stores,77272.37,592
2017-10-01 00:00:00.000000000,TD Canada Trust,2,1,"Fuel Dispenser, Automated",36.97,158
2018-08-01 00:00:00.000000000,TD Canada Trust,9,1,"Grocery Stores, Supermarkets",22430714.41,1041463
2016-12-01 00:00:00.000000000,Scotiabank,5,1,"Drug Stores, Pharmacies",131569.76,2814
2016-02-01 00:00:00.000000000,CIBC,7,1,Hardware Stores,39878439.33,663490
2017-06-01 00:00:00.000000000,Royal Bank,2,1,"Grocery Stores, Supermarkets",1090.62,30
2016-01-01 00:00:00.000000000,TD Canada Trust,9,1,Fast Food Restaurants,19120908.75,1979622
2017-11-01 00:00:00.000000000,Royal Bank,3,1,"Grocery Stores, Supermarkets",147426.04,1747
2018-02-01 00:00:00.000000000,BMO Bank of Montreal,5,1,"Drug Stores, Pharmacies",72866.33,1909
2016-05-01 00:00:00.000000000,Scotiabank,3,1,Fast Food Restaurants,21.41,2
2017-02-01 00:00:00.000000000,BMO Bank of Montreal,9,1,Hardware Stores,2216261.97,80041
2016-01-01 00:00:00.000000000,CIBC,2,1,"Fuel Dispenser, Automated",20.86,40
2016-06-01 00:00:00.000000000,CIBC,5,1,Hardware Stores,380948.19,5630
2017-07-01 00:00:00.000000000,TD Canada Trust,5,1,"Eating Places, Restaurants",211387.07,6217
2017-11-01 00:00:00.000000000,Scotiabank,7,1,Hardware Stores,68188279.53,829956
2017-02-01 00:00:00.000000000,BMO Bank of Montreal,4,1,"Eating Places, Restaurants",15.19,1
2016-03-01 00:00:00.000000000,TD Canada Trust,2,1,"Drug Stores, Pharmacies",104.25,3
2017-04-01 00:00:00.000000000,CIBC,9,1,"Eating Places, Restaurants",4659705.99,320043
2017-07-01 00:00:00.000000000,BMO Bank of Montreal,9,1,"Drug Stores, Pharmacies",12251783.34,551239
2017-03-01 00:00:00.000000000,TD Canada Trust,5,1,Fast Food Restaurants,118914.25,8746
2016-01-01 00:00:00.000000000,CIBC,3,1,"Eating Places, Restaurants",16.24,2
2016-03-01 00:00:00.000000000,BMO Bank of Montreal,3,1,Fast Food Restaurants,44.27,2
2016-04-01 00:00:00.000000000,Scotiabank,7,1,"Grocery Stores, Supermarkets",25465949.05,642731
2017-01-01 00:00:00.000000000,CIBC,5,1,Hardware Stores,190458.36,3149
2018-08-01 00:00:00.000000000,Scotiabank,5,1,"Drug Stores, Pharmacies",84652.84,2087
2018-09-01 00:00:00.000000000,Royal Bank,3,1,"Grocery Stores, Supermarkets",103095.15,1415
2016-08-01 00:00:00.000000000,TD Canada Trust,3,1,"Fuel Dispenser, Automated",121891.88,3065
2018-08-01 00:00:00.000000000,TD Canada Trust,9,1,"Drug Stores, Pharmacies",44423980.71,2224325
2016-03-01 00:00:00.000000000,Scotiabank,9,1,"Fuel Dispenser, Automated",3752463.62,176422
2016-06-01 00:00:00.000000000,Scotiabank,9,1,"Eating Places, Restaurants",1764254.49,139241
2017-09-01 00:00:00.000000000,CIBC,4,1,Hardware Stores,39.06,2
2018-09-01 00:00:00.000000000,BMO Bank of Montreal,5,1,"Fuel Dispenser, Automated",0.00,1
2016-04-01 00:00:00.000000000,Royal Bank,5,1,"Eating Places, Restaurants",213653.71,7249
2016-07-01 00:00:00.000000000,TD Canada Trust,2,1,"Grocery Stores, Supermarkets",1693.78,53
2017-05-01 00:00:00.000000000,BMO Bank of Montreal,3,1,Fast Food Restaurants,26.96,2
2016-07-01 00:00:00.000000000,CIBC,4,1,"Fuel Dispenser, Automated",1195205.30,33809
2016-08-01 00:00:00.000000000,Royal Bank,7,1,"Eating Places, Restaurants",66643184.71,1958213
2017-11-01 00:00:00.000000000,CIBC,3,1,"Eating Places, Restaurants",120.96,3
2016-08-01 00:00:00.000000000,TD Canada Trust,7,1,"Grocery Stores, Supermarkets",46997055.27,1175976
2016-11-01 00:00:00.000000000,Scotiabank,5,1,"Eating Places, Restaurants",84925.11,2919
2016-12-01 00:00:00.000000000,Royal Bank,7,1,"Drug Stores, Pharmacies",105376536.76,2060145
2018-07-01 00:00:00.000000000,TD Canada Trust,2,1,Hardware Stores,22512.18,685
2017-08-01 00:00:00.000000000,TD Canada Trust,9,1,Hardware Stores,10907664.94,431930
